0.8966 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
46.5277 	EXP 	text: autoDraw = False
46.5277 	EXP 	text: height = 0.05
46.5277 	EXP 	text: height = 0.05
46.5277 	EXP 	text: height = 0.05
46.5277 	EXP 	text: text = 'GBP 11.0 today or GBP 30.0 after 7.0 days'
46.5277 	EXP 	fixation: autoDraw = True
47.5272 	EXP 	fixation: autoDraw = False
47.5272 	EXP 	text: autoDraw = True
51.0481 	DATA 	Keypress: l
51.0612 	EXP 	fixation: autoDraw = False
51.0612 	EXP 	text: autoDraw = False
51.0830 	EXP 	window1: mouseVisible = True
