reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,text.started,key_resp.started,fixation.stopped,key_resp.keys,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
78.0,80.0,162.0,0,0,0,6,9.936086582998541,10.89416941699892,10.89416941699892,10.943468333000055,t,9.957133959000203,tanmayi,001,2022-10-21_11h25.38.883,lab.tut.6,2022.2.4,60.04426751610743,
40.0,55.0,62.0,0,1,1,3,20.899908499999583,21.894079957999566,21.894079957999566,21.91102495799896,t,5.0204319580006995,tanmayi,001,2022-10-21_11h25.38.883,lab.tut.6,2022.2.4,60.04426751610743,
49.0,60.0,89.0,0,2,2,4,26.95364704199892,27.94426379200013,27.94426379200013,27.960462666998865,t,3.5644278340005258,tanmayi,001,2022-10-21_11h25.38.883,lab.tut.6,2022.2.4,60.04426751610743,
15.0,35.0,13.0,0,3,3,1,31.5280874580003,32.52663295799903,32.52663295799903,32.543319166999936,l,3.895031709002069,tanmayi,001,2022-10-21_11h25.38.883,lab.tut.6,2022.2.4,60.04426751610743,
27.0,50.0,21.0,0,4,4,2,36.44400433299961,37.44386762499926,37.44386762499926,37.44386762499926,l,3.9836910420017375,tanmayi,001,2022-10-21_11h25.38.883,lab.tut.6,2022.2.4,60.04426751610743,
67.0,75.0,119.0,0,5,5,5,41.46092054200017,42.46034870800031,42.46034870800031,42.46034870800031,t,4.045138208000935,tanmayi,001,2022-10-21_11h25.38.883,lab.tut.6,2022.2.4,60.04426751610743,
11.0,30.0,7.0,0,6,6,0,46.527670666999256,47.527224874998865,47.527224874998865,47.527224874998865,l,3.504134584001804,tanmayi,001,2022-10-21_11h25.38.883,lab.tut.6,2022.2.4,60.04426751610743,
